segment_dimension,segment_column,segment_value,metric,standard_records,random_records,standard_users,random_users,standard_videos,random_videos,standard_rate_pct,random_rate_pct,gap_pp,stable_for_strategy
用户活跃度,user_active_degree,high_active,正向互动率,57585,235289,5681,6158,4889,7511,2.689936615438048,0.7322909273276693,1.9576456881103788,True
用户活跃度,user_active_degree,high_active,负反馈率,57585,235289,5681,6158,4889,7511,0.15629070070330814,0.14110306899175057,0.01518763171155757,True
用户活跃度,user_active_degree,low_active,点击/有效播放率,3114,8619,283,300,1200,5096,57.321772639691716,23.471400394477318,33.8503722452144,True
用户活跃度,user_active_degree,low_active,长播率,3114,8619,283,300,1200,5096,41.23314065510597,11.938739993038636,29.294400662067332,True
用户活跃度,user_active_degree,low_active,完整播放率,3114,8619,283,300,1200,5096,18.682042833607905,4.233750745378653,14.448292088229252,True
用户活跃度,user_active_degree,low_active,正向互动率,3114,8619,283,300,1200,5096,4.431599229287091,0.7193409908342034,3.7122582384528875,True
用户活跃度,user_active_degree,low_active,负反馈率,3114,8619,283,300,1200,5096,0.06422607578676942,0.1160227404571296,-0.051796664670360176,True
用户活跃度,user_active_degree,middle_active,点击/有效播放率,28155,82845,2029,2133,3478,7445,53.05984727401882,19.759792383366527,33.30005489065229,True
用户活跃度,user_active_degree,middle_active,长播率,28155,82845,2029,2133,3478,7445,38.05718344876576,9.218419940853401,28.83876350791236,True
用户活跃度,user_active_degree,middle_active,完整播放率,28155,82845,2029,2133,3478,7445,16.966814319947716,3.45441639789298,13.512397922054735,True
用户活跃度,user_active_degree,middle_active,正向互动率,28155,82845,2029,2133,3478,7445,3.438110459953827,0.7326935844046111,2.705416875549216,True
用户活跃度,user_active_degree,middle_active,负反馈率,28155,82845,2029,2133,3478,7445,0.11720831113478955,0.2812481139477337,-0.16403980281294414,True
用户活跃度,user_active_degree,single_low_active,点击/有效播放率,829,1570,63,68,584,1412,51.38721351025332,19.363057324840767,32.02415618541255,False
用户活跃度,user_active_degree,single_low_active,长播率,829,1570,63,68,584,1412,37.635705669481304,11.0828025477707,26.552903121710603,False
用户活跃度,user_active_degree,single_low_active,完整播放率,829,1570,63,68,584,1412,16.21951219512195,5.049180327868853,11.170331867253097,False
用户活跃度,user_active_degree,single_low_active,正向互动率,829,1570,63,68,584,1412,2.5331724969843186,0.3821656050955414,2.1510068918887773,False
用户活跃度,user_active_degree,single_low_active,负反馈率,829,1570,63,68,584,1412,0.0,0.1910828025477707,-0.1910828025477707,False
注册时长,register_days_group,1-2年,点击/有效播放率,38517,155399,3285,3480,4549,7503,48.49287327673495,19.344397325594116,29.14847595114083,True
注册时长,register_days_group,1-2年,长播率,38517,155399,3285,3480,4549,7503,34.330295713581016,9.37136017606291,24.95893553751811,True
注册时长,register_days_group,1-2年,完整播放率,38517,155399,3285,3480,4549,7503,15.598974169156332,3.622514709202715,11.976459459953617,True
注册时长,register_days_group,1-2年,正向互动率,38517,155399,3285,3480,4549,7503,2.7676091076667446,0.7323084447132864,2.0353006629534582,True
注册时长,register_days_group,1-2年,负反馈率,38517,155399,3285,3480,4549,7503,0.0700989173611652,0.15637166262331162,-0.08627274526214641,True
注册时长,register_days_group,2-4年,点击/有效播放率,100828,425703,9129,9651,5701,7538,44.74154004839925,17.212704632102664,27.528835416296587,True
注册时长,register_days_group,2-4年,长播率,100828,425703,9129,9651,5701,7538,31.470424881977227,8.203371834353998,23.26705304762323,True
注册时长,register_days_group,2-4年,完整播放率,100828,425703,9129,9651,5701,7538,14.166086544185156,3.2070218328749447,10.95906471131021,True
注册时长,register_days_group,2-4年,正向互动率,100828,425703,9129,9651,5701,7538,2.104574126234776,0.5146780736804768,1.589896052554299,True
注册时长,register_days_group,2-4年,负反馈率,100828,425703,9129,9651,5701,7538,0.08727734359503313,0.09983486139397656,-0.01255751779894343,True
注册时长,register_days_group,4年以上,点击/有效播放率,104895,434803,9923,10417,5715,7524,42.244148910815575,16.72389564929405,25.520253261521525,True
注册时长,register_days_group,4年以上,长播率,104895,434803,9923,10417,5715,7524,29.61342294675628,8.147367888446032,21.466055058310246,True
注册时长,register_days_group,4年以上,完整播放率,104895,434803,9923,10417,5715,7524,13.198662985031245,3.209264246983306,9.989398738047939,True
注册时长,register_days_group,4年以上,正向互动率,104895,434803,9923,10417,5715,7524,1.560608227274894,0.44249924678532576,1.1181089804895683,True
注册时长,register_days_group,4年以上,负反馈率,104895,434803,9923,10417,5715,7524,0.050526717193383856,0.07635641888395434,-0.02582970169057048,True
注册时长,register_days_group,半年-1年,点击/有效播放率,21705,83901,1697,1779,3674,7466,50.03455425017277,18.781659336599088,31.25289491357368,True
注册时长,register_days_group,半年-1年,长播率,21705,83901,1697,1779,3674,7466,35.52637641096521,9.051143609730515,26.475232801234696,True
注册时长,register_days_group,半年-1年,完整播放率,21705,83901,1697,1779,3674,7466,16.148632858144428,3.4721965979115166,12.676436260232911,True
注册时长,register_days_group,半年-1年,正向互动率,21705,83901,1697,1779,3674,7466,3.1651693158258465,0.7747225897188353,2.3904467261070113,True
注册时长,register_days_group,半年-1年,负反馈率,21705,83901,1697,1779,3674,7466,0.07832296705828151,0.24433558598824806,-0.16601261892996655,True
注册时长,register_days_group,半年以内,点击/有效播放率,23174,86243,1843,1958,3870,7469,49.53827565374989,19.855524506336746,29.682751147413146,True
注册时长,register_days_group,半年以内,长播率,23174,86243,1843,1958,3870,7469,35.846206956071455,9.58338647774312,26.262820478328337,True
注册时长,register_days_group,半年以内,完整播放率,23174,86243,1843,1958,3870,7469,16.288261385095076,3.7248117239975578,12.563449661097518,True
注册时长,register_days_group,半年以内,正向互动率,23174,86243,1843,1958,3870,7469,2.95158367135583,0.8209361919228226,2.1306474794330073,True
注册时长,register_days_group,半年以内,负反馈率,23174,86243,1843,1958,3870,7469,0.18123759385518254,0.16928910172419792,0.011948492130984617,True
视频时长,duration_group,0-15秒,点击/有效播放率,37200,120815,15146,23807,690,776,40.65860215053764,17.737863675868063,22.920738474669577,True
视频时长,duration_group,0-15秒,长播率,37200,120815,15146,23807,690,776,30.38709677419355,11.276745437238754,19.1103513369548,True
视频时长,duration_group,0-15秒,完整播放率,37200,120815,15146,23807,690,776,28.7258064516129,10.405992633365061,18.319813818247837,True
视频时长,duration_group,0-15秒,正向互动率,37200,120815,15146,23807,690,776,3.190860215053763,0.7805322186814551,2.410327996372308,True
视频时长,duration_group,0-15秒,负反馈率,37200,120815,15146,23807,690,776,0.07526881720430108,0.11008566817034308,-0.03481685096604201,True
视频时长,duration_group,120秒以上,点击/有效播放率,93845,374368,22428,27171,2123,2423,43.62086419095317,16.715905205573126,26.904958985380045,True
视频时长,duration_group,120秒以上,长播率,93845,374368,22428,27171,2123,2423,29.566838936544304,7.5415099581160785,22.025328978428227,True
视频时长,duration_group,120秒以上,完整播放率,93845,374368,22428,27171,2123,2423,4.685385476050935,0.7086609966663817,3.9767244793845533,True
视频时长,duration_group,120秒以上,正向互动率,93845,374368,22428,27171,2123,2423,1.5184612925568757,0.45810539362338665,1.060355898933489,True
视频时长,duration_group,120秒以上,负反馈率,93845,374368,22428,27171,2123,2423,0.09057488411742767,0.11913411402683989,-0.028559229909412218,True
视频时长,duration_group,15-30秒,点击/有效播放率,41153,152256,16597,25053,825,967,45.56168444584842,18.15429277007146,27.40739167577696,True
视频时长,duration_group,15-30秒,长播率,41153,152256,16597,25053,825,967,31.16419216096032,7.963561370323665,23.20063079063665,True
视频时长,duration_group,15-30秒,完整播放率,41153,152256,16597,25053,825,967,24.848735207639784,6.24014817150063,18.608587036139156,True
视频时长,duration_group,15-30秒,正向互动率,41153,152256,16597,25053,825,967,2.3837873302067893,0.6259195039932745,1.757867826213515,True
视频时长,duration_group,15-30秒,负反馈率,41153,152256,16597,25053,825,967,0.07046873860957889,0.11690836485918454,-0.04643962624960565,True
视频时长,duration_group,30-60秒,点击/有效播放率,45615,169802,16871,25464,953,1069,48.512550696042965,18.571630487273413,29.94092020876955,True
视频时长,duration_group,30-60秒,长播率,45615,169802,16871,25464,953,1069,35.33486791625562,9.18599309784337,26.148874818412246,True
视频时长,duration_group,30-60秒,完整播放率,45615,169802,16871,25464,953,1069,17.391209032116627,3.799719673502079,13.591489358614549,True
视频时长,duration_group,30-60秒,正向互动率,45615,169802,16871,25464,953,1069,2.4575249369724874,0.5977550323317746,1.8597699046407128,True
视频时长,duration_group,30-60秒,负反馈率,45615,169802,16871,25464,953,1069,0.07672914611421681,0.11012826704043532,-0.03339912092621851,True
视频时长,duration_group,60-120秒,点击/有效播放率,66508,331888,19948,27062,1837,2109,48.735490467312204,18.96935110639734,29.766139360914863,True
视频时长,duration_group,60-120秒,长播率,66508,331888,19948,27062,1837,2109,35.598724965417695,9.176589692908452,26.422135272509244,True
视频时长,duration_group,60-120秒,完整播放率,66508,331888,19948,27062,1837,2109,11.25578877728995,2.0964903822976426,9.159298394992309,True
视频时长,duration_group,60-120秒,正向互动率,66508,331888,19948,27062,1837,2109,1.9351055512118842,0.5052909415224414,1.4298146096894429,True
视频时长,duration_group,60-120秒,负反馈率,66508,331888,19948,27062,1837,2109,0.0706681902928971,0.1150990695656366,-0.044430879272739504,True
视频时长,duration_group,缺失,点击/有效播放率,4798,36920,3501,15461,190,239,22.696957065443936,7.562296858071506,15.13466020737243,True
视频时长,duration_group,缺失,长播率,4798,36920,3501,15461,190,239,7.607336390162568,1.9853737811484289,5.6219626090141395,True
视频时长,duration_group,缺失,完整播放率,4798,36920,3501,15461,190,239,,,,True
视频时长,duration_group,缺失,正向互动率,4798,36920,3501,15461,190,239,4.064193413922467,0.8342361863488624,3.229957227573605,True
视频时长,duration_group,缺失,负反馈率,4798,36920,3501,15461,190,239,0.06252605252188412,0.06771397616468039,-0.005187923642796272,True
视频类型,video_type,AD,点击/有效播放率,2973,11691,2583,7655,70,76,51.22771611167172,16.81635446069626,34.41136165097546,True
视频类型,video_type,AD,长播率,2973,11691,2583,7655,70,76,38.10965354860411,8.510820289111281,29.598833259492828,True
视频类型,video_type,AD,完整播放率,2973,11691,2583,7655,70,76,7.265388496468214,1.1119664699341374,6.153422026534076,True
视频类型,video_type,AD,正向互动率,2973,11691,2583,7655,70,76,1.849983181971073,0.4790009408947053,1.3709822410763677,True
视频类型,video_type,AD,负反馈率,2973,11691,2583,7655,70,76,0.06727211570803902,0.1368574116842015,-0.06958529597616249,True
视频类型,video_type,NORMAL,点击/有效播放率,286133,1174235,25856,27285,6547,7506,45.05387354831495,17.622196579049337,27.43167696926561,True
视频类型,video_type,NORMAL,长播率,286133,1174235,25856,27285,6547,7506,31.76739488279926,8.494722095662283,23.272672787136976,True
视频类型,video_type,NORMAL,完整播放率,286133,1174235,25856,27285,6547,7506,14.399914692448505,3.341290671449862,11.058624020998643,True
视频类型,video_type,NORMAL,正向互动率,286133,1174235,25856,27285,6547,7506,2.1462047369579884,0.5582357875553019,1.5879689494026865,True
视频类型,video_type,NORMAL,负反馈率,286133,1174235,25856,27285,6547,7506,0.07863476075810899,0.11360587957265794,-0.03497111881454895,True
视频类型,video_type,UNKNOWN,点击/有效播放率,13,123,13,123,1,1,38.46153846153847,34.146341463414636,4.315196998123831,False
视频类型,video_type,UNKNOWN,长播率,13,123,13,123,1,1,38.46153846153847,21.138211382113823,17.323327079424644,False
视频类型,video_type,UNKNOWN,完整播放率,13,123,13,123,1,1,0.0,4.0650406504065035,-4.0650406504065035,False
视频类型,video_type,UNKNOWN,正向互动率,13,123,13,123,1,1,0.0,0.0,0.0,False
视频类型,video_type,UNKNOWN,负反馈率,13,123,13,123,1,1,0.0,0.8130081300813009,-0.8130081300813009,False
画面方向,screen_orientation,方形,点击/有效播放率,5082,16791,4143,9779,99,112,40.751672569854385,11.786075873980108,28.965596695874275,True
画面方向,screen_orientation,方形,长播率,5082,16791,4143,9779,99,112,26.033057851239672,5.270680721815258,20.762377129424415,True
画面方向,screen_orientation,方形,完整播放率,5082,16791,4143,9779,99,112,12.946535602972908,4.429281831849196,8.517253771123713,True
画面方向,screen_orientation,方形,正向互动率,5082,16791,4143,9779,99,112,4.624163715072806,0.8099577154427967,3.814205999630009,True
画面方向,screen_orientation,方形,负反馈率,5082,16791,4143,9779,99,112,0.05903187721369539,0.08337800011911142,-0.02434612290541603,True
画面方向,screen_orientation,横屏,点击/有效播放率,63176,281763,18842,26856,1594,1821,48.93947068507028,16.808097585559494,32.13137309951079,True
画面方向,screen_orientation,横屏,长播率,63176,281763,18842,26856,1594,1821,34.62707357224262,7.989338557582082,26.637735014660542,True
画面方向,screen_orientation,横屏,完整播放率,63176,281763,18842,26856,1594,1821,10.982328564850832,2.135706819822635,8.846621745028196,True
画面方向,screen_orientation,横屏,正向互动率,63176,281763,18842,26856,1594,1821,2.3141699379511205,0.5667884001802933,1.7473815377708273,True
画面方向,screen_orientation,横屏,负反馈率,63176,281763,18842,26856,1594,1821,0.08864125617323033,0.10469791988302227,-0.016056663709791932,True
画面方向,screen_orientation,竖屏,点击/有效播放率,220861,887495,25392,27285,4925,5650,44.12413237284989,17.982749198587033,26.14138317426286,True
画面方向,screen_orientation,竖屏,长播率,220861,887495,25392,27285,4925,5650,31.16711415777344,8.718133623288018,22.448980534485422,True
画面方向,screen_orientation,竖屏,完整播放率,220861,887495,25392,27285,4925,5650,15.32046765853007,3.689594732696651,11.630872925833419,True
画面方向,screen_orientation,竖屏,正向互动率,220861,887495,25392,27285,4925,5650,2.0370278138738844,0.5496368993628133,1.487390914511071,True
画面方向,screen_orientation,竖屏,负反馈率,220861,887495,25392,27285,4925,5650,0.07606594192727553,0.1174091121640122,-0.04134317023673667,True
